"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","telegraf.al"
2012-01-01,"Albania",5,1,22,2,12,2,0,11,32,12,1,2,12,3,10,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441696113074205,0.00088339222614841,0.019434628975265,0.00176678445229682,0.0106007067137809,0.00176678445229682,0,0.00971731448763251,0.0282685512367491,0.0106007067137809,0.00088339222614841,0.00176678445229682,0.0106007067137809,0.00265017667844523,0.0088339222614841,0.00530035335689046,0,0,0.00353356890459364,0.00176678445229682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,5,0,30,9,2,1,3,12,14,0.0212014134275618,0.00441696113074205,0.00441696113074205,0,0.0265017667844523,0.00795053003533569,0.00176678445229682,0.00088339222614841,0.00265017667844523,0.0106007067137809,0.0123674911660777,1132,898,1132,6.30438711766365,0,0,1132,0
2012-02-01,"Albania",2,1,18,7,12,3,0,17,30,24,2,0,10,2,4,8,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.00176522506619594,0.00088261253309797,0.0158870255957635,0.00617828773168579,0.0105913503971756,0.00264783759929391,0,0.0150044130626655,0.0264783759929391,0.0211827007943513,0.00176522506619594,0,0.0088261253309797,0.00176522506619594,0.00353045013239188,0.00706090026478376,0.00088261253309797,0,0.00176522506619594,0.00353045013239188,0,0,0,0,0,0,0,0,0,0,0,0,0.00176522506619594,0,0,0,0,0,0,0,18,3,4,2,36,13,2,0,0,16,16,0.0158870255957635,0.00264783759929391,0.00353045013239188,0.00176522506619594,0.0317740511915269,0.0114739629302736,0.00176522506619594,0,0,0.0141218005295675,0.0141218005295675,1133,887,1131,6.2595188000973,0,0.00176522506619594,1133,0
2012-03-01,"Albania",4,0,18,2,6,3,2,10,35,23,0,0,17,2,11,7,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00301431801055011,0,0.0135644310474755,0.00150715900527506,0.00452147701582517,0.00226073850791258,0.00150715900527506,0.00753579502637528,0.0263752825923135,0.0173323285606631,0,0,0.012810851544838,0.00150715900527506,0.00828937452901281,0.0052750565184627,0,0,0.00376789751318764,0.00452147701582517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,4,1,30,10,1,0,0,23,19,0.0293896006028636,0.00301431801055011,0.00301431801055011,0.000753579502637528,0.0226073850791258,0.00753579502637528,0.000753579502637528,0,0,0.0173323285606631,0.014318010550113,1327,1067,1327,6.32438198992267,0.00150715900527506,0.00150715900527506,1327,0
2012-04-01,"Albania",3,0,49,6,9,1,0,16,20,23,0,2,12,2,4,10,0,1,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227445034116755,0,0.0371493555724033,0.0045489006823351,0.00682335102350265,0.000758150113722517,0,0.0121304018195603,0.0151630022744503,0.0174374526156179,0,0.00151630022744503,0.0090978013646702,0.00151630022744503,0.00303260045489007,0.00758150113722517,0,0.000758150113722517,0.00379075056861259,0.00379075056861259,0,0,0,0,0,0.000758150113722517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,3,0,22,15,3,1,1,25,19,0.0265352539802881,0.0045489006823351,0.00227445034116755,0,0.0166793025018954,0.0113722517058378,0.00227445034116755,0.000758150113722517,0.000758150113722517,0.0189537528430629,0.0144048521607278,1319,1030,1318,5.49945311129172,0.000758150113722517,0,1319,0
2012-05-01,"Albania",2,0,40,2,12,2,2,15,40,24,0,1,19,4,8,10,0,2,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0015748031496063,0,0.031496062992126,0.0015748031496063,0.0094488188976378,0.0015748031496063,0.0015748031496063,0.0118110236220472,0.031496062992126,0.0188976377952756,0,0.00078740157480315,0.0149606299212598,0.0031496062992126,0.0062992125984252,0.0078740157480315,0,0.0015748031496063,0.0031496062992126,0.0031496062992126,0,0,0,0,0,0,0,0,0.00236220472440945,0,0,0,0,0,0,0,0,0,0,0,33,5,13,1,33,16,3,1,1,17,12,0.0259842519685039,0.00393700787401575,0.0102362204724409,0.00078740157480315,0.0259842519685039,0.0125984251968504,0.00236220472440945,0.00078740157480315,0.00078740157480315,0.0133858267716535,0.0094488188976378,1270,971,1267,6.51374761073399,0,0.00236220472440945,1270,0
2012-06-01,"Albania",2,1,52,3,17,1,1,21,24,18,1,3,14,1,9,7,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173160173160173,0.000865800865800866,0.045021645021645,0.0025974025974026,0.0147186147186147,0.000865800865800866,0.000865800865800866,0.0181818181818182,0.0207792207792208,0.0155844155844156,0.000865800865800866,0.0025974025974026,0.0121212121212121,0.000865800865800866,0.00779220779220779,0.00606060606060606,0,0.00346320346320346,0.0025974025974026,0.00606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,13,1,37,11,4,2,1,26,15,0.0155844155844156,0.00779220779220779,0.0112554112554113,0.000865800865800866,0.032034632034632,0.00952380952380952,0.00346320346320346,0.00173160173160173,0.000865800865800866,0.0225108225108225,0.012987012987013,1155,850,1155,6.88407647041133,0,0.000865800865800866,1155,0
2012-07-01,"Albania",5,0,21,0,11,2,1,21,25,36,0,2,14,0,6,13,2,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369276218611521,0,0.0155096011816839,0,0.00812407680945347,0.00147710487444609,0.000738552437223043,0.0155096011816839,0.0184638109305761,0.0265878877400295,0,0.00147710487444609,0.0103397341211226,0,0.00443131462333826,0.00960118168389956,0.00147710487444609,0,0.0051698670605613,0.00738552437223043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,9,0,31,14,2,1,2,20,27,0.0206794682422452,0.00147710487444609,0.00664697193500739,0,0.0228951255539143,0.0103397341211226,0.00147710487444609,0.000738552437223043,0.00147710487444609,0.0147710487444609,0.0199409158050222,1354,1058,1354,7.4786956959867,0,0,1354,1
2012-08-01,"Albania",2,2,13,2,5,3,0,35,14,20,0,1,7,2,16,6,0,4,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00141542816702052,0.00141542816702052,0.0092002830856334,0.00141542816702052,0.00353857041755131,0.00212314225053079,0,0.0247699929228592,0.00990799716914367,0.0141542816702052,0,0.000707714083510262,0.00495399858457183,0.00141542816702052,0.0113234253361642,0.00424628450106157,0,0.00283085633404105,0.00283085633404105,0.00141542816702052,0,0,0,0,0,0,0,0,0.000707714083510262,0,0,0,0,0,0,0,0,0,0,0,41,6,7,0,13,10,3,1,3,41,26,0.0290162774239207,0.00424628450106157,0.00495399858457183,0,0.0092002830856334,0.00707714083510262,0.00212314225053079,0.000707714083510262,0.00212314225053079,0.0290162774239207,0.0184005661712668,1413,1128,1412,5.56858496482395,0,0.00141542816702052,1413,1
2012-09-01,"Albania",9,2,29,6,20,1,0,14,38,24,1,4,20,0,15,5,0,4,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00511945392491468,0.00113765642775882,0.0164960182025028,0.00341296928327645,0.0113765642775882,0.000568828213879408,0,0.00796359499431172,0.0216154721274175,0.0136518771331058,0.000568828213879408,0.00227531285551763,0.0113765642775882,0,0.00853242320819113,0.00284414106939704,0,0.00227531285551763,0.00341296928327645,0.00511945392491468,0,0,0.000568828213879408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,15,12,2,43,19,0,0,2,37,26,0.0182025028441411,0.00853242320819113,0.0068259385665529,0.00113765642775882,0.0244596131968146,0.0108077360637088,0,0,0.00113765642775882,0.0210466439135381,0.0147895335608646,1758,1386,1757,6.86404720710341,0.00170648464163823,0.000568828213879408,1758,1
2012-10-01,"Albania",7,2,44,2,15,2,1,17,19,16,1,4,12,4,47,6,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.00388026607538803,0.00110864745011086,0.024390243902439,0.00110864745011086,0.00831485587583148,0.00110864745011086,0.000554323725055432,0.00942350332594235,0.0105321507760532,0.00886917960088692,0.000554323725055432,0.00221729490022173,0.00665188470066519,0.00221729490022173,0.0260532150776053,0.00332594235033259,0.00110864745011086,0.000554323725055432,0.000554323725055432,0.00554323725055432,0,0,0,0,0,0,0,0,0,0,0,0,0.00110864745011086,0,0,0,0,0.000554323725055432,0,0,34,6,7,2,32,24,2,1,2,26,30,0.0188470066518847,0.00332594235033259,0.00388026607538803,0.00110864745011086,0.0177383592017738,0.0133037694013304,0.00110864745011086,0.000554323725055432,0.00110864745011086,0.0144124168514412,0.016629711751663,1804,1446,1801,6.22922782589611,0,0.0016629711751663,1804,1
